cookie_name,skill_name,skill_type,crowd_control,grants_immunity,provides_healing,provides_shield,anti_heal,anti_tank,dispel,target_type,key_mechanic
Mystic Flour Cookie,Smite the Heretics,Control,Silence,All_Debuffs,False,True,True,False,False,AoE,Silence enemies and grant team debuff immunity
Burning Spice Cookie,World of Destruction,Damage,,,False,False,False,True,False,AoE,True damage ignoring DEF and DMG Resist
Shadow Milk Cookie,Curtain Call,Control,Stun,,False,False,False,True,False,AoE,Mass stun and DEF reduction
Eternal Sugar Cookie,Sweet Dreams,Control,Sleep,All_Debuffs,True,True,False,False,False,Team_Wide,Sleep enemies and heal team with immunity
Silent Salt Cookie,Silent Judgement,Damage,,,False,True,False,True,False,AoE,True damage with shield and critical strikes
Pure Vanilla Cookie,Radiant Light of Resolution,Healing,,All_Debuffs,True,True,False,False,True,Team_Wide,Mass heal with debuff immunity and cleanse
Hollyberry Cookie,Hollyberry's Grand Entrance,Defense,Stun,Stun,False,True,False,False,False,AoE,AoE stun with team shield and self HP boost
Dark Cacao Cookie,Grapejam Chocoblade,Damage,,Interruption,False,True,False,True,False,AoE,DEF-ignoring damage with shield
Golden Cheese Cookie,Radiant Glory of Gold and Glory,Damage,,,False,False,False,True,False,AoE,Multi-hit DEF-scaling damage
White Lily Cookie,The Final Verdict,Damage,Stun,,False,False,False,True,False,AoE,Mass AoE damage with stun
Pure Vanilla Cookie (Ascended),Awakened Light of Unwavering Resolution,Healing,,All_Debuffs,True,True,False,False,True,Team_Wide,Enhanced heal with immunity and mass cleanse
Hollyberry Cookie (Ascended),Awakened Grand Entrance,Defense,Stun,All_Debuffs,False,True,False,False,False,AoE,Enhanced stun with debuff immunity shield
Dark Cacao Cookie (Ascended),Awakened Grapejam Chocoblade,Damage,,All_Debuffs,False,True,False,True,False,AoE,True damage with immunity shield
Golden Cheese Cookie (Ascended),Awakened Radiant Glory,Damage,,,False,True,False,True,False,AoE,Enhanced DEF-scaling with lifesteal shield
White Lily Cookie (Ascended),Awakened Final Verdict,Damage,Stun,,False,False,False,True,False,AoE,Massive AoE with extended stun
Fire Spirit Cookie,Burning Soul,Damage,,,False,False,False,False,False,AoE,Continuous fire damage over time
Wind Archer,Divine Grace of the Millennial Forest,Damage,,,True,False,False,False,False,AoE,AoE damage with team healing
Stormbringer Cookie,Thunder's Domain,Damage,,Stun,False,False,False,True,False,AoE,Lightning strikes with HP-scaling damage
Moonlight Cookie,Moonlight of Absolution,Damage,Stun,,False,False,False,False,False,AoE,AoE stun damage with CRIT DMG boost
Black Pearl Cookie,Abyss Depths,Damage,,,False,False,False,True,False,AoE,HP-based true damage with mark mechanic
Frost Queen Cookie,Freezing Squall,Control,Freeze,,False,False,False,False,False,AoE,Mass freeze with continuous damage
Sea Fairy Cookie,Ocean's Majesty,Control,Stun,,False,False,False,False,False,AoE,AoE knockback stun with high damage
Millennial Tree Cookie,Nature's Blessing,Healing,,,True,True,False,False,False,Team_Wide,Team heal with shield and HP% recovery
Pitaya Dragon Cookie,Dragon's Rage,Damage,,,False,False,False,True,False,AoE,HP-scaling damage with self-heal
Doughael,Divine Judgement,Healing,,,True,False,False,False,True,Team_Wide,Powerful healing with damage buff
Camellia Cookie,Scarlet Bloom,Damage,,Interruption,False,True,False,True,False,AoE,HP-scaling damage with shield
Elder Faerie Cookie,Ancient Guardian,Defense,,All_Debuffs,False,True,False,False,True,Team_Wide,Team shield with immunity and cleanse
Crimson Coral Cookie,Tidal Guardian,Defense,,Stun,True,True,False,False,False,Team_Wide,Shield and heal with stun immunity
Shining Glitter Cookie,Starlight Spectacle,Damage,,,False,False,False,False,False,AoE,Multi-hit magic damage with CRIT boost
Capsaicin Cookie,Scorching Heat,Damage,,,False,False,False,False,False,AoE,Fire damage with ATK boost stacking
Stardust Cookie,Celestial Strike,Damage,,,False,False,False,True,False,AoE,High critical damage with defense penetration
Sherbet Cookie,Frozen Arrows,Damage,Slow,,False,False,False,False,False,AoE,Multi-hit damage with slow effect
Oyster Cookie,Pearl's Blessing,Support,,,True,True,False,False,False,Team_Wide,Team buff with healing and shield
Clotted Cream Cookie,For My Kingdom,Damage,,,False,True,False,False,False,AoE,High damage with summoning shield
Captain Caviar Cookie,Cannonball Barrage,Damage,Knockback,,False,False,False,False,False,AoE,Knockback with continuous cannon fire
Cream Unicorn Cookie,Rainbow Cloud,Healing,,,True,False,False,False,True,Team_Wide,Strong healing with debuff cleanse
Financier Cookie,Divine Shield,Defense,,Stun,False,True,False,False,False,Team_Wide,Team shield with stun immunity
Crunchy Chip Cookie,Ice Wolves Assault,Damage,,,False,False,False,False,False,AoE,Summon wolves with freezing attacks
Wildberry Cookie,Heroic Protection,Defense,,,False,True,False,False,False,Single_Target,Bodyguard mode with damage reduction
Cherry Blossom Cookie,Petal Dance,Damage,Stun,,False,False,False,False,False,AoE,AoE stun with cherry blossom petals
Caramel Arrow Cookie,Arrow of Justice,Damage,,,False,False,False,True,False,Single_Target,HP-scaling single target nuke
Affogato Cookie,Bitter Truth,Debuff,,,False,False,True,False,False,AoE,DEF reduction with healing reduction
Tea Knight Cookie,Righteous Charge,Damage,,,False,False,False,False,False,AoE,Charge attack with damage boost
Éclair Cookie,Truth Unveiled,Debuff,,,False,False,False,True,False,AoE,DEF reduction with amplify damage taken
Cocoa Cookie,Warm Comfort,Defense,,Stun,False,True,False,False,False,Team_Wide,Team shield with stun immunity
Cotton Cookie,Eager Sheep,Healing,,,True,False,False,False,False,Team_Wide,Heal with ATK buff and sheep summons
Pumpkin Pie Cookie,Pompon Smash,Damage,,,False,False,False,False,False,AoE,Summon Pompon for continuous damage
Twizzly Gummy Cookie,Electric Shock,Damage,Stun,,False,False,False,False,False,AoE,Lightning damage with stun
Mala Sauce Cookie,Dragon's Flame,Damage,,,False,False,False,False,False,AoE,Fire damage with ATK speed boost
Moon Rabbit Cookie,Rice Cake Barrage,Defense,Stun,,False,False,False,False,False,AoE,Stun with damage reduction buff
Raspberry Cookie,Royal Decree,Damage,,,False,False,False,False,False,Single_Target,High single target damage
Parfait Cookie,Healing Melody,Healing,,,True,False,False,False,True,Team_Wide,Healing with debuff cleanse
Sorbet Shark Cookie,Shark Torpedo,Damage,,,False,False,False,False,False,AoE,High burst damage with dodge
